word                           	 ipa                            	 ipa_model                      
heigh                          	 heigh*                         	 haɪ                           
holed                          	 hoʊld                          	 hoʊld                         
magus                          	 magus*                         	 megəs                         
stellate                       	 stellate*                      	 stɛlət                        
unenthused                     	 unenthused*                    	 ənɛnθuzd                      
construed                      	 kənstrud                       	 kənstrud                      
broader                        	 brɔdər                         	 brɔdər                        
scaffolded                     	 scaffolded*                    	 skæfəldɪd                     
immoderate                     	 immoderate*                    	 ɪmɑdəret                      
valediction                    	 valediction*                   	 vælədɪkʃən                    
usefully                       	 jusfəli                        	 jusfəli                       
ignoramus                      	 ɪgnəreməs                      	 ɪgnəreməs                     
entendre                       	 ɑntɑndrə                       	 ɛnəndr                        
lives                          	 lɪvz                           	 lɪvz                          
founded                        	 faʊndɪd                        	 faʊndɪd                       
hamstrung                      	 hæmstrəŋ                       	 hæmstrəŋ                      
materialist                    	 mətɪriəlɪst                    	 mətɪriəlɪst                   
obstacles                      	 ɑbstəkəlz                      	 ɑbstəkəlz                     
wools                          	 wʊlz                           	 wʊlz                          
pia                            	 piə                            	 piə                           
virtuosos                      	 virtuosos*                     	 vərʧuoʊsoʊ                    
retyped                        	 retyped*                       	 ritaɪpt                       
streamlining                   	 strimlaɪnɪŋ                    	 strimlaɪnɪŋ                   
whisperers                     	 wɪspərərz                      	 wɪspərərz                     
outdrew                        	 outdrew*                       	 aʊtdru                        
golpe                          	 golpe*                         	 gɑlp                          
bundt                          	 bundt*                         	 bəndt                         
jackals                        	 jackals*                       	 ʤækəlz                        
shoals                         	 ʃoʊlz                          	 ʃoʊlz                         
obscurity                      	 əbskjʊrəti                     	 əbskjʊrəti                    
gusset                         	 gusset*                        	 gəsɪt                         
cabalist                       	 cabalist*                      	 kəbɑləst                      
affectionate                   	 əfɛkʃənət                      	 əfɛkʃənət                     
trifled                        	 trifled*                       	 traɪfəld                      
outlawry                       	 aʊtlɔri                        	 aʊtlɔri                       
tilly                          	 tɪli                           	 tɪli                          
homilies                       	 hoʊməliz                       	 hoʊməliz                      
insinuation                    	 ɪnsɪnjueʃən                    	 ɪnsɪnjueʃən                   
istanbul                       	 ɪstɑnbul                       	 ɪstɑnbul                      
richter                        	 rɪktər                         	 rɪʧtər                        
buckland                       	 bəklənd                        	 bəklænd                       
sizing                         	 saɪzɪŋ                         	 saɪzɪŋ                        
denounce                       	 dɪnaʊns                        	 dɪnaʊns                       
vigilant                       	 vɪʤələnt                       	 vɪʤələnt                      
tane                           	 tane*                          	 ten                           
harangued                      	 həræŋd                         	 həræŋd                        
reprocessed                    	 riprɔsɛst                      	 riprɔsɛst                     
boogieing                      	 boogieing*                     	 buʤiɪŋ                        
adulteress                     	 adulteress*                    	 ədəltərɪs                     
chorusing                      	 chorusing*                     	 ʧɔrusɪŋ                       
introducer                     	 introducer*                    	 ɪntrədusər                    
reggae                         	 rɛge                           	 rɛge                          
podesta                        	 poʊdɛstə                       	 poʊdəstə                      
iowa                           	 aɪəwə                          	 aɪə                           
unclick                        	 unclick*                       	 ənklɪk                        
conchological                  	 conchological*                 	 kɑnʃəlɑʤɪkəl                  
cuisines                       	 kwɪzinz                        	 kwɪzinz                       
bonuses                        	 boʊnəsɪz                       	 boʊnəsɪz                      
imperatives                    	 ɪmpɛrətɪvz                     	 ɪmpɛrətɪvz                    
sodomy                         	 sɑdəmi                         	 sɔdəmi                        
hallel                         	 hallel*                        	 hæləl                         
foxtrots                       	 foxtrots*                      	 fɑkstrɑts                     
floundering                    	 flaʊndərɪŋ                     	 flaʊndərɪŋ                    
midfielder                     	 midfielder*                    	 mɪdfildər                     
cod                            	 sioʊdi                         	 sioʊdi                        
wassail                        	 wassail*                       	 wɑsel                         
organized                      	 ɔrgənaɪzd                      	 ɔrgənaɪzd                     
expulsive                      	 expulsive*                     	 ɪkspəlsɪv                     
psychotic                      	 saɪkɑtɪk                       	 saɪkɑtɪk                      
constitution                   	 kɑnstətuʃən                    	 kɑnstətuʃən                   
compere                        	 compere*                       	 kəmpɪr                        
sluttiest                      	 sluttiest*                     	 slətiəst                      
googling                       	 guglɪŋ                         	 guglɪŋ                        
nonintervention                	 nɑnɪntərvɛnʃən                 	 nɑnɪntərvɛnʃən                
sart                           	 sart*                          	 sɑrt                          
longue                         	 longue*                        	 lɔŋg                          
skee                           	 skee*                          	 ski                           
froggies                       	 froggies*                      	 frɑgiz                        
mothership                     	 məðərʃɪp                       	 məðərʃɪp                      
falsifies                      	 falsifies*                     	 fɔlsəfaɪz                     
striae                         	 striae*                        	 stri                          
craniums                       	 craniums*                      	 kreniəmz                      
imprinting                     	 ɪmprɪnɪŋ                       	 ɪmprɪnɪŋ                      
implore                        	 ɪmplɔr                         	 ɪmplɔr                        
monopolised                    	 monopolised*                   	 mənɑpəlaɪzd                   
malevolence                    	 malevolence*                   	 məlɛvələns                    
father                         	 fɑðər                          	 fɑðər                         
dram                           	 diræm                          	 dræm                          
sateen                         	 sateen*                        	 setən                         
pervert                        	 pərvərt                        	 pərvərt                       
boat                           	 boʊt                           	 boʊt                          
blue                           	 blu                            	 blu                           
oohed                          	 oohed*                         	 ud                            
irritable                      	 ɪrətəbəl                       	 ɪrətəbəl                      
mistreat                       	 mɪstrit                        	 mɪstrit                       
seminoles                      	 sɛmɪnoʊlz                      	 sɛmənoʊlz                     
emphasize                      	 ɛmfəsaɪz                       	 ɛmfəsaɪz                      
swear                          	 swɛr                           	 swɛr                          
buckles                        	 bəkəlz                         	 bəkəlz                        
complaints                     	 kəmplents                      	 kəmplents                     
prophetess                     	 prɑfətəs                       	 prɑfətəs                      
neutralization                 	 nutrələzeʃən                   	 nutrəleʃən                    
gear                           	 gɪr                            	 gɪr                           
reduces                        	 rɪdusɪz                        	 rɪdusɪz                       
greenhorn                      	 greenhorn*                     	 grinhɔrn                      
parked                         	 pɑrkt                          	 pɑrkt                         
overjoyous                     	 overjoyous*                    	 oʊvərʤɔɪəs                    
grandpa                        	 grændpɑ                        	 grændpɑ                       
grommets                       	 grommets*                      	 grɑməts                       
pilothouse                     	 pilothouse*                    	 paɪləθəs                      
nether                         	 nɛðər                          	 nɛðər                         
fixed                          	 fɪkst                          	 fɪkst                         
uncontroversial                	 ənkɑntrəvərʃəl                 	 ənkɑntrəvərʃəl                
etna                           	 ɛtnə                           	 ɛtnə                          
trilobites                     	 trilobites*                    	 trɪləbaɪts                    
turkey                         	 tərki                          	 tərki                         
complicating                   	 kɑmpləketɪŋ                    	 kɑmpləketɪŋ                   
beanbag                        	 beanbag*                       	 binbæg                        
skivvies                       	 skivvies*                      	 skɪviz                        
adenoid                        	 ædənɔɪd                        	 ædənɔɪd                       
owning                         	 oʊnɪŋ                          	 oʊnɪŋ                         
antinuclear                    	 antinuclear*                   	 æntinəkələr                   
fumble                         	 fəmbəl                         	 fəmbəl                        
atty                           	 atty*                          	 ətaɪ                          
torsos                         	 tɔrsoʊz                        	 tɔrsəs                        
dynasties                      	 daɪnəstiz                      	 daɪnəstiz                     
gooding                        	 gʊdɪŋ                          	 gʊdɪŋ                         
wrath                          	 ræθ                            	 ræθ                           
churching                      	 churching*                     	 ʧərʧɪŋ                        
screech                        	 skriʧ                          	 skriʧ                         
result                         	 rɪzəlt                         	 rɪzəlt                        
donkey                         	 dɔŋki                          	 dɔŋki                         
revise                         	 rɪvaɪz                         	 rɪvaɪz                        
ragtag                         	 rægtæg                         	 rægtæg                        
treatise                       	 tritəs                         	 tritəs                        
borzoi                         	 borzoi*                        	 bɔrzoʊ                        
lessor                         	 lɛsər                          	 lɛsər                         
civilizes                      	 civilizes*                     	 səvɪləzɪz                     
bullfrog                       	 bʊlfrɔg                        	 bʊlfrɔg                       
pedigree                       	 pɛdəgri                        	 pɛdəgri                       
tikkun                         	 tikkun*                        	 tɪkən                         
photocopies                    	 foʊtoʊkɑpiz                    	 foʊtoʊkɑpiz                   
refreeze                       	 refreeze*                      	 rifriz                        
grossest                       	 grossest*                      	 groʊsɛst                      
toru                           	 tɔru                           	 tɔru                          
pinscher                       	 pinscher*                      	 pɪnsʧər                       
deescalate                     	 deescalate*                    	 diskəlet                      
susan                          	 suzən                          	 susən                         
creeds                         	 kridz                          	 kridz                         
queue                          	 kju                            	 kju                           
reprobates                     	 reprobates*                    	 rɛprɔbets                     
betties                        	 betties*                       	 bɛtiz                         
djakarta                       	 ʤəkɑrtə                        	 dʤəkɑrtə                      
sherry                         	 ʃɛri                           	 ʃɛri                          
kook                           	 kuk                            	 kʊk                           
protestations                  	 proʊtɛsteʃənz                  	 proʊtɛsteʃənz                 
seamy                          	 simi                           	 simi                          
leeways                        	 leeways*                       	 liwez                         
brooder                        	 brooder*                       	 brudər                        
boarded                        	 bɔrdɪd                         	 bɔrdɪd                        
purchaser                      	 pərʧəsər                       	 pərʧəsər                      
copycat                        	 kɑpikæt                        	 kɑpikæt                       
pileup                         	 paɪləp                         	 paɪləp                        
sellers                        	 sɛlərz                         	 sɛlərz                        
douche                         	 duʃ                            	 duʃ                           
portable                       	 pɔrtəbəl                       	 pɔrtəbəl                      
scoping                        	 skoʊpɪŋ                        	 skoʊpɪŋ                       
tumbly                         	 tumbly*                        	 təmbli                        
darby                          	 dɑrbi                          	 dɑrbi                         
global                         	 gloʊbəl                        	 gloʊbəl                       
machin                         	 mæʧɪn                          	 məʃin                         
petition                       	 pətɪʃən                        	 pətɪʃən                       
premium                        	 primiəm                        	 primiəm                       
epaulet                        	 epaulet*                       	 ɛpəle                         
cameroon                       	 kæmərun                        	 kæmərun                       
flicker                        	 flɪkər                         	 flɪkər                        
oarsman                        	 ɔrzmən                         	 ɔrzmən                        
restriction                    	 ristrɪkʃən                     	 ristrɪkʃən                    
interagency                    	 ɪntəreʤənsi                    	 ɪnərɪʤənsi                    
tachycardiac                   	 tachycardiac*                  	 tæʧɪkɑrdiæk                   
closeup                        	 kloʊsəp                        	 kloʊsəp                       
stubby                         	 stəbi                          	 stəbi                         
unburnt                        	 unburnt*                       	 ənbərnt                       
closetful                      	 closetful*                     	 kloʊsɛtfəl                    
dissociation                   	 dɪsoʊsieʃən                    	 dɪsoʊʃieʃən                   
dirk                           	 dərk                           	 dərk                          
wainwright                     	 wenraɪt                        	 wenraɪt                       
inseparable                    	 ɪnsɛpərəbəl                    	 ɪnsɛpərəbəl                   
pluviosity                     	 pluviosity*                    	 pluvaɪɑsəti                   
alienate                       	 eljənet                        	 eljənet                       
loros                          	 loros*                         	 loʊroʊz                       
compelled                      	 kəmpɛld                        	 kəmpɛld                       
matting                        	 mætɪŋ                          	 mætɪŋ                         
shrugged                       	 ʃrəgd                          	 ʃrəgd                         
prosecutor                     	 prɑsɪkjutər                    	 prɑsɪkjutər                   
scree                          	 scree*                         	 skri                          
dallis                         	 dallis*                        	 dælɪs                         
unseemly                       	 ənsimli                        	 ənsimli                       
serviceable                    	 sərvəsəbəl                     	 sərvəsəbəl                    
connived                       	 connived*                      	 kənaɪvd                       
portables                      	 pɔrtəbəlz                      	 pɔrtəbəlz                     
flipped                        	 flɪpt                          	 flɪpt                         
stowaway                       	 stoʊəwe                        	 stoʊəwe                       
thoughtfully                   	 θɔtfəli                        	 θɔtfəli                       
onlooker                       	 ɔnlʊkər                        	 ɔnlʊkər                       
apologetic                     	 əpɑləʤɛtɪk                     	 əpɑləʤɛtɪk                    
visualizations                 	 visualizations*                	 vɪʒəwəlzeʃənz                 
telecasts                      	 tɛləkæsts                      	 tɛləkæsts                     
or                             	 ər                             	 ər                            
validates                      	 vælədets                       	 vælədets                      
bocage                         	 bocage*                        	 boʊkɪʤ                        
elegant                        	 ɛləgənt                        	 ɛləgənt                       
sphere                         	 sfɪr                           	 sfɪr                          
dobie                          	 dɑbi                           	 doʊbi                         
coachman                       	 koʊʧmən                        	 koʊʧmən                       
rix                            	 rɪks                           	 rɪks                          
alcove                         	 ælkoʊv                         	 ælkoʊv                        
transgendered                  	 transgendered*                 	 trænzgɛndərd                  
additives                      	 ædɪtɪvz                        	 ædɪtɪvz                       
magots                         	 magots*                        	 mægəts                        
lazy                           	 lezi                           	 lezi                          
mainmast                       	 mainmast*                      	 menmæst                       
atalanta                       	 ætəlæntə                       	 ætəlæntə                      
boutonniere                    	 boutonniere*                   	 butənir                       
frames                         	 fremz                          	 fremz                         
indexed                        	 ɪndɛkst                        	 ɪndɛkst                       
pino                           	 pinoʊ                          	 paɪnoʊ                        
duration                       	 dʊreʃən                        	 dʊreʃən                       
misjudging                     	 mɪsʤəʤɪŋ                       	 mɪsʤəʤɪŋ                      
shamans                        	 ʃemənz                         	 ʃemənz                        
bonding                        	 bɑndɪŋ                         	 bɑndɪŋ                        
presses                        	 prɛsɪz                         	 prɛsɪz                        
entry                          	 ɛntri                          	 ɛntri                         
rsum                           	 rsum*                          	 rəm                           
housebroken                    	 haʊsbroʊkən                    	 haʊsbroʊkən                   
solid                          	 sɑləd                          	 sɑləd                         
hurtle                         	 hərtəl                         	 hərtəl                        
hydrosulfide                   	 haɪdroʊsəlfaɪd                 	 haɪdroʊsəlfaɪd                
bequeathed                     	 bəkwiθt                        	 bəkwiθt                       
publisher                      	 pəblɪʃər                       	 pəblɪʃər                      
outgeneraled                   	 outgeneraled*                  	 aʊtgɛnərəld                   
liza                           	 lizə                           	 lizə                          
connex                         	 connex*                        	 kɑnɛks                        
gaulish                        	 gaulish*                       	 gɔlɪʃ                         
benefactresses                 	 benefactresses*                	 bɛnəfæktrəsɪz                 
ignore                         	 ɪgnɔr                          	 ɪgnɔr                         
simpletons                     	 simpletons*                    	 sɪmpəltənz                    
max                            	 mæks                           	 mæks                          
replowing                      	 replowing*                     	 riploʊɪŋ                      
engaging                       	 ɪngeʤɪŋ                        	 ɪngeʤɪŋ                       
configurations                 	 kənfɪgjəreʃənz                 	 kənfɪgjəreʃənz                
vinegars                       	 vɪnɪgərz                       	 vɪnɪgərz                      
finns                          	 fɪnz                           	 fɪnz                          
damn                           	 dæm                            	 dæm                           
privata                        	 privata*                       	 praɪvətə                      
diabolic                       	 diabolic*                      	 daɪəbɑlɪk                     
capitulated                    	 kəpɪʧəletɪd                    	 kəpɪʧəletɪd                   
balancer                       	 bælənsər                       	 bælənsər                      
dod                            	 dod*                           	 dɑd                           
sikes                          	 saɪks                          	 saɪks                         
forbar                         	 forbar*                        	 fɔrbɑr                        
bloomed                        	 blumd                          	 blumd                         
refile                         	 rifaɪl                         	 rifaɪl                        
unc                            	 unc*                           	 ənk                           
caymans                        	 kemənz                         	 kemənz                        
injudicial                     	 injudicial*                    	 ɪnʤədɪʃəl                     
telethons                      	 telethons*                     	 tɛləθɑnz                      
vendable                       	 vendable*                      	 vɛndəbəl                      
nerve                          	 nərv                           	 nərv                          
manoeuvrings                   	 manoeuvrings*                  	 mənuvərɪŋz                    
anaesthesiology                	 ænəsθiziɑləʤi                  	 ænɪsθiʒiɑləʤi                 
guns                           	 gənz                           	 gənz                          
dominica                       	 dəmɪnɪkə                       	 doʊmɪnɪkə                     
freeloading                    	 freeloading*                   	 friloʊdɪŋ                     
sealant                        	 silənt                         	 silənt                        
exorcism                       	 ɛksərsɪzəm                     	 ɛksərsɪzəm                    
aura                           	 ɔrə                            	 ɔrə                           
gargoyle                       	 gɑrgɔɪl                        	 gɑrgɔɪl                       
aquatics                       	 aquatics*                      	 ækwətɪks                      
elitism                        	 ɛlɪtɪzəm                       	 ɛlɪtɪzəm                      
wrongful                       	 rɔŋfəl                         	 rɔŋfəl                        
drowns                         	 draʊnz                         	 draʊnz                        
rafters                        	 ræftərz                        	 ræftərz                       
functioning                    	 fəŋkʃənɪŋ                      	 fəŋkʃənɪŋ                     
weight                         	 wet                            	 wet                           
beanstalk                      	 beanstalk*                     	 binstɔk                       
amok                           	 əmək                           	 əmək                          
bonking                        	 bonking*                       	 bɑŋkɪŋ                        
scaphoid                       	 scaphoid*                      	 skæfɔɪd                       
pistol                         	 pɪstəl                         	 pɪstəl                        
prioritize                     	 praɪɔrətaɪz                    	 praɪɔrətaɪz                   
neap                           	 neap*                          	 nip                           
okolehao                       	 okolehao*                      	 oʊkəlhe                       
coveys                         	 coveys*                        	 kəviz                         
popovers                       	 popovers*                      	 pəpoʊvərz                     
delphine                       	 dɛlfini                        	 dɪlfaɪn                       
griffon                        	 grɪfən                         	 grɪfɑn                        
vagary                         	 vegəri                         	 vægəri                        
everywhere                     	 ɛvriwɛr                        	 ɛvriwɛr                       
crunch                         	 krənʧ                          	 krənʧ                         
stilled                        	 stɪld                          	 stɪld                         
fille                          	 fille*                         	 fɪl                           
viceregal                      	 viceregal*                     	 vɪsrɪgəl                      
superset                       	 superset*                      	 supərsɛt                      
downer                         	 daʊnər                         	 daʊnər                        
plasticity                     	 plasticity*                    	 plæstɪsəti                    
previously                     	 priviəsli                      	 priviəsli                     
buffo                          	 bufoʊ                          	 bəfoʊ                         
survivability                  	 sərvaɪvəbɪlɪti                 	 sərvaɪvəbɪlɪti                
atraumatic                     	 atraumatic*                    	 ætrɔmætɪk                     
guidance                       	 gaɪdəns                        	 gaɪdəns                       
unreal                         	 ənril                          	 ənril                         
freshly                        	 frɛʃli                         	 frɛʃli                        
annexing                       	 ənɛksɪŋ                        	 ænɛksɪŋ                       
wonton                         	 wonton*                        	 wəntən                        
cuing                          	 kjuɪŋ                          	 kwɪŋ                          
scintillate                    	 scintillate*                   	 sɪntəlet                      
sandbars                       	 sandbars*                      	 sændbɑrz                      
kreutzer                       	 kreutzer*                      	 krutsər                       
inventors                      	 ɪnvɛntərz                      	 ɪnvɛntərz                     
autographed                    	 ɔtəgræft                       	 ɔtəgræft                      
linch                          	 lɪnʧ                           	 lɪnʧ                          
combinate                      	 combinate*                     	 kɑmbənet                      
gluconate                      	 gluconate*                     	 glukənet                      
gibbons                        	 gɪbɪnz                         	 gɪbɪnz                        
molt                           	 moʊlt                          	 moʊlt                         
macs                           	 mæks                           	 mæks                          
sayings                        	 seɪŋz                          	 seɪŋz                         
aramaic                        	 aramaic*                       	 əræmɪk                        
rotenone                       	 rotenone*                      	 roʊtənoʊn                     
stockmen                       	 stockmen*                      	 stɑkmɪn                       
plowed                         	 plaʊd                          	 ploʊd                         
smeared                        	 smɪrd                          	 smɪrd                         
herp                           	 herp*                          	 hərp                          
capitan                        	 kæpɪtən                        	 kæpɪtən                       
overprotect                    	 oʊvərprətɛkt                   	 oʊvərproʊtɛkt                 
intoxicates                    	 ɪntɑksəkets                    	 ɪntɑksəkets                   
detail                         	 ditel                          	 ditel                         
noonish                        	 noonish*                       	 nunɪʃ                         
mead                           	 mid                            	 mid                           
spice                          	 spaɪs                          	 spaɪs                         
hug                            	 həg                            	 həg                           
convertibles                   	 kənvərtəbəlz                   	 kənvərtəbəlz                  
beading                        	 beading*                       	 bidɪŋ                         
processed                      	 prɑsɛst                        	 prɑsɛst                       
ephialtes                      	 ephialtes*                     	 ɛfiəltiz                      
compressing                    	 kəmprɛsɪŋ                      	 kəmprɛsɪŋ                     
intercuts                      	 intercuts*                     	 ɪntərkəts                     
sighted                        	 saɪtɪd                         	 saɪtɪd                        
doornail                       	 dɔrnel                         	 dɔrnel                        
havent                         	 havent*                        	 hævənt                        
enlists                        	 ɛnlɪsts                        	 ɛnlɪsts                       
mudra                          	 mədrə                          	 mjudrə                        
prescribing                    	 priskraɪbɪŋ                    	 priskraɪbɪŋ                   
showered                       	 ʃaʊərd                         	 ʃaʊərd                        
rammed                         	 ræmd                           	 ræmd                          
prof                           	 prof*                          	 prɔf                          
reads                          	 ridz                           	 ridz                          
hysterically                   	 hɪstɛrɪkli                     	 hɪstɛrɪkli                    
necromancer                    	 nɛkrəmænsər                    	 nɛkrəmænsər                   
loony                          	 luni                           	 luni                          
benet                          	 bɛnət                          	 bɛnət                         
stylographic                   	 stylographic*                  	 staɪləgræfɪk                  
creators                       	 krietərz                       	 krietərz                      
tattooer                       	 tattooer*                      	 tætuər                        
shrub                          	 ʃrəb                           	 ʃrəb                          
rozzers                        	 rozzers*                       	 rɑzərz                        
dinked                         	 dinked*                        	 dɪŋkt                         
bloodworm                      	 bloodworm*                     	 blədwərm                      
aperitifs                      	 aperitifs*                     	 əpɛrətifs                     
flair                          	 flɛr                           	 flɛr                          
youd                           	 youd*                          	 jʊd                           
metres                         	 mitərz                         	 mitərz                        
mantra                         	 mæntrə                         	 mæntrə                        
unconvincing                   	 ənkənvɪnsɪŋ                    	 ənkənvɪnsɪŋ                   
automaton                      	 ɔtɑmətɑn                       	 ɔtəmetən                      
conserves                      	 conserves*                     	 kənsərvz                      
swell                          	 swɛl                           	 swɛl                          
disapproval                    	 dɪsəpruvəl                     	 dɪsəpruvəl                    
cobbling                       	 cobbling*                      	 kɑbəlɪŋ                       
pairs                          	 pɛrz                           	 pɛrz                          
propriety                      	 prəpraɪəti                     	 prəpraɪəti                    
dumas                          	 dumɑ                           	 duməz                         
whirlpool                      	 wərlpul                        	 wərlpul                       
sideway                        	 sideway*                       	 saɪdwe                        
stagey                         	 stagey*                        	 steʤi                         
quoad                          	 quoad*                         	 kwoʊd                         
lads                           	 lædz                           	 lædz                          
frigate                        	 frɪgət                         	 frɪgət                        
pixilated                      	 pixilated*                     	 pɪksəletɪd                    
advisees                       	 advisees*                      	 ædvaɪziz                      
knowable                       	 knowable*                      	 noʊəbəl                       
faithfully                     	 feθfəli                        	 feθfəli                       
refire                         	 refire*                        	 rifaɪər                       
allocated                      	 æləketɪd                       	 æləketɪd                      
easeful                        	 easeful*                       	 izfəl                         
wanders                        	 wɑndərz                        	 wɑndərz                       
lalo                           	 lalo*                          	 leloʊ                         
volunteered                    	 vɑləntɪrd                      	 vɑləntɪrd                     
hoops                          	 hups                           	 hups                          
affa                           	 affa*                          	 æfə                           
writhing                       	 rɪθɪŋ                          	 rɪθɪŋ                         
breck                          	 brɛk                           	 brɛk                          
gambia                         	 gæmbiə                         	 gæmbiə                        
prowesses                      	 prowesses*                     	 praʊəsɪz                      
brigand                        	 brigand*                       	 brɪgənd                       
firelight                      	 firelight*                     	 faɪrlaɪt                      
practitioner                   	 præktɪʃənər                    	 præktɪʃənər                   
stunted                        	 stəntɪd                        	 stəntɪd                       
thumbtack                      	 thumbtack*                     	 θəmtæk                        
decorating                     	 dɛkəretɪŋ                      	 dɛkəretɪŋ                     
agos                           	 agos*                          	 əgɑs                          
speculative                    	 spɛkjələtɪv                    	 spɛkjələtɪv                   
teacups                        	 teacups*                       	 tikəps                        
magnetise                      	 magnetise*                     	 mægnətaɪz                     
polysyllabic                   	 pɑlisɪlæbɪk                    	 pɑlisɪlæbɪk                   
gutless                        	 gətlɛs                         	 gətlɛs                        
chevrolet                      	 ʃɛvroʊle                       	 ʃɛvrəlɛt                      
convocations                   	 convocations*                  	 kɑnvəkeʃənz                   
advertisers                    	 ædvərtaɪzərz                   	 ædvərtaɪzərz                  
crispin                        	 krɪspɪn                        	 krɪspɪn                       
raffling                       	 raffling*                      	 ræfəlɪŋ                       
dolling                        	 dolling*                       	 dɑlɪŋ                         
parody                         	 pɛrədi                         	 pɛrədi                        
earth                          	 ərθ                            	 ərθ                           
privatization                  	 praɪvətəzeʃən                  	 praɪvətɪzeʃən                 
reawaken                       	 riəwekən                       	 riəwekən                      
mutuality                      	 mjuʧuælɪti                     	 mjuʧuælɪti                    
unrecognized                   	 ənrɛkəgnaɪzd                   	 ənrɛkəgnaɪzd                  
revelling                      	 revelling*                     	 rɛvəlɪŋ                       
intertwine                     	 ɪntərtwaɪn                     	 ɪntərtwaɪn                    
chorography                    	 chorography*                   	 kərɑgrəfi                     
rectitude                      	 rɛktɪtud                       	 rɛktɪtud                      
myrmidon                       	 mərmɪdɪn                       	 mɪrmɪdən                      
colonial                       	 kəloʊniəl                      	 kəloʊniəl                     
alighted                       	 alighted*                      	 əlaɪtɪd                       
vile                           	 vaɪl                           	 vaɪl                          
garrotte                       	 garrotte*                      	 gɛrət                         
flimsiest                      	 flɪmziəst                      	 flɪmziəst                     
unsung                         	 ənsəŋ                          	 ənsəŋ                         
peele                          	 pil                            	 pil                           
entangle                       	 ɛntæŋgəl                       	 ɛntæŋgəl                      
miscalculated                  	 mɪskælkjəletɪd                 	 mɪskælkjəletɪd                
registers                      	 rɛʤɪstərz                      	 rɛʤɪstərz                     
