word                           	 ipa                            	 ipa_model                      
begs                           	 bɛgz                           	 bɛgz                          
fattish                        	 fattish*                       	 fætɪʃ                         
anesthesiologist               	 ænəsθiziɑləʤɪst                	 ænɪsθiʒiɑləʤɪst               
constitutionals                	 constitutionals*               	 kɑnstətuʃənəlz                
firma                          	 fərmə                          	 fərmə                         
noncancerous                   	 noncancerous*                  	 nɑnkænsərəs                   
only                           	 oʊnli                          	 oʊnli                         
statehouse                     	 stethaʊs                       	 stethaʊs                      
podiatric                      	 podiatric*                     	 poʊdiætrɪk                    
glorified                      	 glɔrəfaɪd                      	 glɔrəfaɪd                     
toxify                         	 toxify*                        	 tɑksəfaɪ                      
monsieurs                      	 məsjərz                        	 məsjərz                       
motivator                      	 moʊtəvetər                     	 moʊtəvetər                    
bloodbath                      	 blədbæθ                        	 blədbæθ                       
acupuncturists                 	 acupuncturists*                	 ækjəpəŋkʧərɪsts               
ink                            	 ɪŋk                            	 ɪŋk                           
pram                           	 pram*                          	 præm                          
schoolhouses                   	 schoolhouses*                  	 skulhaʊsəz                    
punishable                     	 pənɪʃəbəl                      	 pənɪʃəbəl                     
lows                           	 loʊz                           	 loʊz                          
randle                         	 rændəl                         	 rændəl                        
grindingly                     	 grindingly*                    	 graɪndɪŋli                    
kneeling                       	 nilɪŋ                          	 nilɪŋ                         
rosebush                       	 roʊzbʊʃ                        	 roʊzbʊʃ                       
circuses                       	 sərkəsəz                       	 sərkəsəz                      
scowl                          	 skaʊl                          	 skaʊl                         
consuls                        	 consuls*                       	 kɑnsəlz                       
countdown                      	 kaʊntdaʊn                      	 kaʊntdaʊn                     
hout                           	 haʊt                           	 haʊt                          
colliers                       	 kɑljərz                        	 kɑljərz                       
affirmatively                  	 əfərmətɪvli                    	 əfərmətɪvli                   
repart                         	 repart*                        	 ripɑrt                        
jag                            	 jag*                           	 ʤæg                           
gobbled                        	 gɑbəld                         	 gɑbəld                        
sixteen                        	 sɪkstin                        	 sɪkstin                       
gish                           	 ʤɪʃ                            	 gɪʃ                           
colombian                      	 kələmbiən                      	 kəlɑmbiən                     
houseful                       	 haʊsfəl                        	 haʊsfəl                       
sookie                         	 sookie*                        	 sʊki                          
mongoloid                      	 mɑŋgəlɔɪd                      	 mɑŋgəlɔɪd                     
enchantress                    	 enchantress*                   	 ɪnʧænəs                       
cordy                          	 kɔrdi                          	 kɔrdi                         
fisherboy                      	 fisherboy*                     	 fɪʃərbɔɪ                      
singleness                     	 singleness*                    	 sɪŋgəlnəs                     
spitefully                     	 spitefully*                    	 spaɪtfəli                     
murky                          	 mərki                          	 mərki                         
overmastering                  	 overmastering*                 	 oʊvərmæstərɪŋ                 
asmodeus                       	 æzmədeəs                       	 əsmoʊdəs                      
filiety                        	 filiety*                       	 fɪliəti                       
rejuvenate                     	 rɪʤuvənet                      	 rɪʤuvənet                     
speck                          	 spɛk                           	 spɛk                          
tristram                       	 trɪstrəm                       	 trɪstræm                      
storytellers                   	 stɔritɛlərz                    	 stɔritɛlərz                   
poltergeist                    	 poʊltərgaɪst                   	 poʊltərgaɪst                  
overtaxed                      	 oʊvərtækst                     	 oʊvərtækst                    
man                            	 mæn                            	 mæn                           
floatability                   	 floatability*                  	 floʊtəbɪlɪti                  
recitations                    	 rɛsɪteʃənz                     	 rɛsɪteʃənz                    
jackknives                     	 jackknives*                    	 ʤæknaɪvz                      
nameplate                      	 nemplet                        	 nemplet                       
reappraise                     	 riəprez                        	 riəprez                       
panels                         	 pænəlz                         	 pænəlz                        
koller                         	 kɑlər                          	 kɑlər                         
decrypting                     	 decrypting*                    	 dɪkrɪptɪŋ                     
repulsers                      	 repulsers*                     	 rɪpəlsərz                     
moonlighters                   	 moonlighters*                  	 munlaɪtərz                    
foaming                        	 foʊmɪŋ                         	 foʊmɪŋ                        
speakeasies                    	 speakeasies*                   	 spikiz                        
elect                          	 ɪlɛkt                          	 ɪlɛkt                         
metroliner                     	 metroliner*                    	 mɛtroʊlinər                   
misrepresents                  	 mɪsrɛprəzɛnts                  	 mɪsrɛprəzɛnts                 
bouquet                        	 buke                           	 buke                          
savile                         	 savile*                        	 sævəl                         
babies                         	 bebiz                          	 bebiz                         
oxyacetylene                   	 oxyacetylene*                  	 ɑksiəsɛtəlin                  
loving                         	 ləvɪŋ                          	 ləvɪŋ                         
raved                          	 revd                           	 revd                          
pawnshop                       	 pɔnʃɑp                         	 pɔnʃɑp                        
bondsmen                       	 bondsmen*                      	 bɑndzmɪn                      
hospitalisation                	 hospitalisation*               	 hɑspətæləseʃən                
skedge                         	 skedge*                        	 skɛʤ                          
islands                        	 aɪləndz                        	 aɪləndz                       
waybill                        	 waybill*                       	 webɪl                         
profiles                       	 proʊfaɪlz                      	 proʊfaɪlz                     
gruff                          	 grəf                           	 grəf                          
gutsy                          	 gətsi                          	 gətsi                         
fretful                        	 frɛtfəl                        	 frɛtfəl                       
skewed                         	 skjud                          	 skjud                         
pointed                        	 pɔɪntɪd                        	 pɔɪntɪd                       
liquidates                     	 lɪkwɪdets                      	 lɪkwɪdets                     
onliest                        	 onliest*                       	 ɔnliəst                       
hurriedly                      	 həridli                        	 həridli                       
greedy                         	 gridi                          	 gridi                         
slackers                       	 slækərz                        	 slækərz                       
sibilants                      	 sibilants*                     	 sɪbələnts                     
fecundated                     	 fecundated*                    	 fɛkəndetɪd                    
wager                          	 weʤər                          	 weʤər                         
targeted                       	 tɑrgətɪd                       	 tɑrgətɪd                      
fourscore                      	 fourscore*                     	 fɔrskɔr                       
orderlies                      	 orderlies*                     	 ɔrdərliz                      
efforts                        	 ɛfərts                         	 ɪfɔrts                        
chowder                        	 ʧaʊdər                         	 ʧaʊdər                        
pari                           	 pari*                          	 pɑri                          
gruyere                        	 gruyere*                       	 gruər                         
chronicler                     	 krɑnɪklər                      	 krɑnɪklər                     
dimply                         	 dimply*                        	 dɪmpli                        
mist                           	 mɪst                           	 mɪst                          
quarantines                    	 kwɔrəntinz                     	 kwɔrəntinz                    
primers                        	 praɪmərz                       	 praɪmərz                      
unruffable                     	 unruffable*                    	 ənrəfəbəl                     
amebas                         	 amebas*                        	 ɑmbəz                         
newfound                       	 nufaʊnd                        	 nufaʊnd                       
stewardship                    	 stuərdʃɪp                      	 stuərdʃɪp                     
dilated                        	 daɪletɪd                       	 daɪletɪd                      
finessed                       	 fɪnɛst                         	 faɪnɛst                       
guzzling                       	 gəzəlɪŋ                        	 gəzəlɪŋ                       
earmark                        	 ɪrmɑrk                         	 ɪrmɑrk                        
boreholes                      	 boreholes*                     	 bɔrhoʊlz                      
manger                         	 menʤər                         	 menʤər                        
carioca                        	 kɛrioʊkə                       	 kɛrioʊkə                      
biopsy                         	 baɪɑpsi                        	 baɪɑpsi                       
scumbags                       	 skəmbægz                       	 skəmbægz                      
mills                          	 mɪlz                           	 mɪlz                          
conjunctival                   	 conjunctival*                  	 kənʤəŋktɪvəl                  
illumination                   	 ɪluməneʃən                     	 ɪluməneʃən                    
reaganomics                    	 regənɑmɪks                     	 rigənɑmɪks                    
pers                           	 pərs                           	 pərz                          
droves                         	 droʊvz                         	 droʊvz                        
minicams                       	 minicams*                      	 mɪnɪkəmz                      
franchise                      	 frænʧaɪz                       	 frænʧaɪz                      
perky                          	 pərki                          	 pərki                         
squirreling                    	 squirreling*                   	 skwərəlɪŋ                     
oversleep                      	 oʊvərslip                      	 oʊvərslip                     
flattened                      	 flætənd                        	 flætənd                       
longshore                      	 lɔŋʃɔr                         	 lɔŋʃɔr                        
gores                          	 gɔrz                           	 gɔrz                          
blenched                       	 blenched*                      	 blɛnʧt                        
unleash                        	 ənliʃ                          	 ənliʃ                         
slacks                         	 slæks                          	 slæks                         
hedging                        	 hɛʤɪŋ                          	 hɛʤɪŋ                         
cager                          	 cager*                         	 keʤər                         
octillion                      	 ɑktɪljən                       	 ɔktɪljən                      
shade                          	 ʃed                            	 ʃed                           
paperclip                      	 paperclip*                     	 pepərklɪp                     
skewered                       	 skjuərd                        	 skjuərd                       
lumberman                      	 ləmbərmən                      	 ləmbərmən                     
springer                       	 sprɪŋər                        	 sprɪŋər                       
folderols                      	 folderols*                     	 fɑldəroʊlz                    
dreaming                       	 drimɪŋ                         	 drimɪŋ                        
headfirst                      	 hɛdfərst                       	 hɛdfərst                      
udders                         	 udders*                        	 ədərz                         
whenas                         	 whenas*                        	 winəz                         
frigid                         	 frɪʤəd                         	 frɪʤəd                        
photo                          	 foʊtoʊ                         	 foʊtoʊ                        
cunts                          	 cunts*                         	 kənts                         
frigging                       	 frɪgɪŋ                         	 frɪgɪŋ                        
fishnets                       	 fishnets*                      	 fɪʃnəts                       
nietzschean                    	 nietzschean*                   	 niɪtskin                      
protestation                   	 proʊtɛsteʃən                   	 proʊtɛsteʃən                  
barrier                        	 bɛriər                         	 bɛriər                        
pompoms                        	 pɑmpɑmz                        	 pɑmpəmz                       
cardholder                     	 kɑrdhoʊldər                    	 kɑrdhoʊldər                   
rivals                         	 raɪvəlz                        	 raɪvəlz                       
unrenewed                      	 unrenewed*                     	 ənrinud                       
pastureland                    	 pastureland*                   	 pæsʧərlænd                    
barbs                          	 bɑrbz                          	 bɑrbz                         
gruesome                       	 grusəm                         	 grusəm                        
imperial                       	 ɪmpɪriəl                       	 ɪmpɪriəl                      
minae                          	 minae*                         	 mɪni                          
pongs                          	 pongs*                         	 pɔŋz                          
apprenticed                    	 əprɛntəst                      	 əprɛntəst                     
consorted                      	 consorted*                     	 kənsɔrtɪd                     
piquette                       	 pɪkɛt                          	 pikət                         
efficient                      	 ɪfɪʃənt                        	 ɪfɪʃənt                       
herl                           	 hərl                           	 hərl                          
beowulf                        	 beəwʊlf                        	 bioʊlf                        
cutups                         	 cutups*                        	 kjutəps                       
telophase                      	 telophase*                     	 tɛləfes                       
swapping                       	 swɑpɪŋ                         	 swɑpɪŋ                        
hermitage                      	 hərmətəʤ                       	 hərmətəʤ                      
ripoff                         	 rɪpɔf                          	 rɪpɔf                         
autopsy                        	 ɔtɑpsi                         	 ɔtɑpsi                        
channels                       	 ʧænəlz                         	 ʧænəlz                        
defensive                      	 dɪfɛnsɪv                       	 dɪfɛnsɪv                      
preflight                      	 preflight*                     	 priflaɪt                      
ventilatory                    	 ventilatory*                   	 vɛntɪlətɔri                   
itll                           	 itll*                          	 ɪtl                           
disbelievers                   	 disbelievers*                  	 dɪsbɪlivərz                   
nubian                         	 njubiən                        	 nubiən                        
historically                   	 hɪstɔrɪkəli                    	 hɪstɔrɪkəli                   
unequivocal                    	 ənɪkwɪvəkəl                    	 ənikwɪvəkəl                   
missile                        	 mɪsəl                          	 mɪsəl                         
partway                        	 partway*                       	 pɑrtwe                        
gel                            	 ʤɛl                            	 ʤɛl                           
guajira                        	 guajira*                       	 gwɑʤərə                       
thumbnail                      	 θəmnel                         	 θəmnel                        
smiles                         	 smaɪlz                         	 smaɪlz                        
death                          	 dɛθ                            	 dɛθ                           
coker                          	 koʊkər                         	 koʊkər                        
guesser                        	 gɛsər                          	 gɛsər                         
chaired                        	 ʧɛrd                           	 ʧɛrd                          
sweepstakes                    	 swipsteks                      	 swipsteks                     
decibel                        	 dɛsəbɛl                        	 dɛsəbɛl                       
gawkiness                      	 gawkiness*                     	 gɔkinəs                       
unpopularity                   	 ənpɑpjəlɛrɪti                  	 ənpɑpjəlɛrɪti                 
suspended                      	 səspɛndɪd                      	 səspɛndɪd                     
rowdy                          	 raʊdi                          	 raʊdi                         
firebreaks                     	 firebreaks*                    	 faɪrbreks                     
clinical                       	 klɪnɪkəl                       	 klɪnɪkəl                      
splintering                    	 splɪntərɪŋ                     	 splɪntərɪŋ                    
tar                            	 tɑr                            	 tɑr                           
sippy                          	 sippy*                         	 sɪpi                          
almightiness                   	 almightiness*                  	 ælmaɪtinəs                    
babbitt                        	 bæbɪt                          	 bæbɪt                         
lysine                         	 laɪsin                         	 laɪsin                        
sorrow                         	 sɑroʊ                          	 sɑroʊ                         
usurper                        	 usurper*                       	 jusərpər                      
proteus                        	 proteus*                       	 proʊtəs                       
unimprinted                    	 unimprinted*                   	 ənɪmprɪntəd                   
secondaries                    	 sɛkəndɛriz                     	 sɛkəndɛriz                    
writs                          	 rɪts                           	 rɪts                          
cesar                          	 sizər                          	 sisər                         
vesicles                       	 vɛzɪkəlz                       	 vɛzɪkəlz                      
disputatious                   	 disputatious*                  	 dɪspjuteʃəs                   
caused                         	 kɔzd                           	 kɔzd                          
badmouthing                    	 badmouthing*                   	 bædmaʊtɪŋ                     
submitting                     	 səbmɪtɪŋ                       	 səbmɪtɪŋ                      
sputters                       	 spətərz                        	 spətərz                       
retrain                        	 ritren                         	 ritren                        
convalescing                   	 convalescing*                  	 kɑnvəlɛsɪŋ                    
outmatched                     	 outmatched*                    	 aʊtmæʧt                       
cashews                        	 kæʃuz                          	 kæʃuz                         
flavour                        	 flavour*                       	 flævər                        
paralysed                      	 paralysed*                     	 pɛrəlɪst                      
jobless                        	 ʤɑbləs                         	 ʤɑbləs                        
stinginess                     	 stɪnʤinɪs                      	 stɪŋənəs                      
infiltrates                    	 infiltrates*                   	 ɪnfɪltrets                    
hired                          	 haɪərd                         	 haɪərd                        
havoc                          	 hævək                          	 hævək                         
unromantic                     	 unromantic*                    	 ənroʊmæntɪk                   
deterred                       	 dɪtərd                         	 dɪtərd                        
scratched                      	 skræʧt                         	 skræʧt                        
decorates                      	 decorates*                     	 dɛkərets                      
petri                          	 pɛtri                          	 pɛtri                         
chard                          	 ʧɑrd                           	 ʧɑrd                          
smileys                        	 smileys*                       	 smaɪliz                       
visa                           	 vizə                           	 vizə                          
theatregoing                   	 theatregoing*                  	 θiætrəgoʊɪŋ                   
dwarf                          	 dwɔrf                          	 dwɔrf                         
unwished                       	 unwished*                      	 ənwɪʃt                        
inadvertant                    	 inadvertant*                   	 ɪnədvərtənt                   
cries                          	 kraɪz                          	 kraɪz                         
ulcerative                     	 ulcerative*                    	 əlsərətɪv                     
cuffing                        	 cuffing*                       	 kəfɪŋ                         
boxiana                        	 boxiana*                       	 bɑksiənə                      
darkens                        	 darkens*                       	 dɑrkənz                       
microorganism                  	 maɪkroʊɔrgənɪzəm               	 maɪkroʊɔrgənɪzəm              
cantando                       	 cantando*                      	 kæntændoʊ                     
aortic                         	 eɔrtɪk                         	 eɔrtɪk                        
reloader                       	 reloader*                      	 riloʊdər                      
pelican                        	 pɛləkən                        	 pɛləkən                       
codger                         	 codger*                        	 kɑʤər                         
vertigo                        	 vərtɪgoʊ                       	 vərtɪgoʊ                      
around                         	 əraʊnd                         	 əraʊnd                        
escaper                        	 escaper*                       	 ɪskepər                       
fingerboard                    	 fɪŋgərbɔrd                     	 fɪŋgərbɔrd                    
gunl                           	 gunl*                          	 gənəl                         
ditty                          	 dɪti                           	 dɪti                          
psychoneurosis                 	 psychoneurosis*                	 saɪkoʊnəroʊsɪs                
gills                          	 gɪlz                           	 gɪlz                          
mille                          	 mɪl                            	 mɪl                           
groped                         	 groʊpt                         	 groʊpt                        
congregating                   	 congregating*                  	 kɑŋgrəgetɪŋ                   
residents                      	 rɛzɪdənts                      	 rɛzɪdənts                     
tagliarini                     	 tagliarini*                    	 tægliɛrini                    
confusers                      	 confusers*                     	 kənfjuzərz                    
cupped                         	 cupped*                        	 kəpt                          
laments                        	 ləmɛnts                        	 ləmɛnts                       
deoxygenated                   	 deoxygenated*                  	 diɑksəʤənetəd                 
holsters                       	 holsters*                      	 hoʊlstərz                     
mornay                         	 mornay*                        	 mɔrne                         
monetizing                     	 monetizing*                    	 mənɛtɪzɪŋ                     
forested                       	 fɔrəstəd                       	 fɔrəstəd                      
cowbell                        	 kaʊbɛl                         	 kaʊbɛl                        
matchbook                      	 mæʧbʊk                         	 mæʧbʊk                        
resequencing                   	 resequencing*                  	 rɛzəkwɛnsɪŋ                   
copulative                     	 copulative*                    	 kɑpjələtɪv                    
blimp                          	 blɪmp                          	 blɪmp                         
wro                            	 wro*                           	 roʊ                           
dostoevsky                     	 dɔstoʊvski                     	 dɔstoʊɛvski                   
reenact                        	 riɪnækt                        	 rinækt                        
webbing                        	 wɛbɪŋ                          	 wɛbɪŋ                         
actualization                  	 actualization*                 	 ækʧuəleʃən                    
wowing                         	 waʊɪŋ                          	 waʊɪŋ                         
sowbelly                       	 sowbelly*                      	 soʊbɛli                       
complaint                      	 kəmplent                       	 kəmplent                      
discounts                      	 dɪskaʊnts                      	 dɪskaʊnts                     
catched                        	 catched*                       	 kæʧt                          
havel                          	 hævəl                          	 hævəl                         
kb                             	 kb*                            	 kɑb                           
cistern                        	 sɪstərn                        	 sɪstərn                       
indulgent                      	 ɪndəlʤənt                      	 ɪndəlʤənt                     
misdeal                        	 misdeal*                       	 mɪsdil                        
indonesian                     	 ɪndoʊniʒən                     	 ɪndəniʒən                     
christianity                   	 krɪsʧiænɪti                    	 krɪsʧænɪti                    
psia                           	 psia*                          	 siə                           
curd                           	 kərd                           	 kərd                          
stepped                        	 stɛpt                          	 stɛpt                         
ptt                            	 ptt*                           	 tɑt                           
progressed                     	 prəgrɛst                       	 prəgrɛst                      
predominately                  	 prɪdɑmənəntli                  	 prɪdɑmənətli                  
duchy                          	 dəʧi                           	 dəʧi                          
hurrah                         	 hʊrɑ                           	 hərə                          
serfs                          	 sərfs                          	 sərfs                         
dugouts                        	 dəgaʊts                        	 dəgaʊts                       
conclusive                     	 kənklusɪv                      	 kənklusɪv                     
thoroughbreds                  	 θəroʊbrɛdz                     	 θəroʊbrɛdz                    
twenty                         	 twɛnti                         	 twɛnti                        
invigilate                     	 invigilate*                    	 ɪnvɪʤəlet                     
lastjob                        	 lastjob*                       	 læstʤɑb                       
sofia                          	 soʊfiə                         	 soʊfiə                        
evidence                       	 ɛvədəns                        	 ɛvədəns                       
latinate                       	 lætənet                        	 lætənet                       
alai                           	 əlaɪ                           	 əle                           
neurological                   	 nʊrəlɑʤɪkəl                    	 nʊrəlɑʤɪkəl                   
clutch                         	 kləʧ                           	 kləʧ                          
crumb                          	 krəm                           	 krəm                          
toast                          	 toʊst                          	 toʊst                         
piecemeal                      	 pismil                         	 pismil                        
cumulated                      	 cumulated*                     	 kjumjəletɪd                   
assistants                     	 əsɪstənts                      	 əsɪstənts                     
warring                        	 wɔrɪŋ                          	 wɔrɪŋ                         
hedgehopping                   	 hedgehopping*                  	 hɛʤhɑpɪŋ                      
fishy                          	 fɪʃi                           	 fɪʃi                          
freestone                      	 fristoʊn                       	 fristoʊn                      
mover                          	 muvər                          	 muvər                         
daters                         	 daters*                        	 detərz                        
bike                           	 baɪk                           	 baɪk                          
punchy                         	 pənʧi                          	 pənʧi                         
nucleoid                       	 nucleoid*                      	 nukliɔɪd                      
shrewder                       	 shrewder*                      	 ʃrudər                        
emigration                     	 ɛməgreʃən                      	 ɛməgreʃən                     
giga                           	 giga*                          	 gɪgə                          
underworld                     	 əndərwərld                     	 əndərwərld                    
clomp                          	 clomp*                         	 klɑmp                         
arr                            	 arr*                           	 ər                            
rhinoceros                     	 raɪnɑsərəs                     	 raɪnɑsərəs                    
paddle                         	 pædəl                          	 pædəl                         
upwelling                      	 upwelling*                     	 əpwɛlɪŋ                       
terrorizing                    	 tɛrəraɪzɪŋ                     	 tɛrəraɪzɪŋ                    
johns                          	 ʤɑnz                           	 ʤɑnz                          
programmes                     	 programmes*                    	 proʊgræmz                     
crime                          	 kraɪm                          	 kraɪm                         
update                         	 əpdet                          	 əpdet                         
terbium                        	 terbium*                       	 tərbiəm                       
miniskirts                     	 mɪniskərts                     	 mɪniskərts                    
rearming                       	 riɑrmɪŋ                        	 riɑrmɪŋ                       
unca                           	 unca*                          	 ənkə                          
finks                          	 fɪŋks                          	 fɪŋks                         
censors                        	 sɛnsərz                        	 sɛnsərz                       
bosoms                         	 bosoms*                        	 bʊzəmz                        
spasmodic                      	 spæzmɔdɪk                      	 spæzmɔdɪk                     
aftershocks                    	 æftərʃɑks                      	 æftərʃɑks                     
potshots                       	 pɑʧɑts                         	 pɑʧɑts                        
devoutness                     	 devoutness*                    	 dɪvaʊtnəs                     
kinsman                        	 kɪnzmæn                        	 kɪnzmæn                       
tetralogy                      	 tetralogy*                     	 tətrɑləʤi                     
transverter                    	 transverter*                   	 trænzvərtər                   
winnings                       	 wɪnɪŋz                         	 wɪnɪŋz                        
recreations                    	 recreations*                   	 rɛkrieʃənz                    
squashes                       	 squashes*                      	 skwɑʃɪz                       
slashing                       	 slæʃɪŋ                         	 slæʃɪŋ                        
soldier                        	 soʊlʤər                        	 soʊlʤər                       
peacocks                       	 pikɑks                         	 pikɑks                        
effectively                    	 ifɛktɪvli                      	 ifɛktɪvli                     
cougars                        	 kugərz                         	 kɔgərz                        
nows                           	 nows*                          	 naʊz                          
irretrievable                  	 irretrievable*                 	 ɪrətrivəbəl                   
fled                           	 flɛd                           	 flɛd                          
sclerae                        	 sclerae*                       	 skləri                        
crosscurrent                   	 krɔskərənt                     	 krɔskərənt                    
had                            	 hæd                            	 hæd                           
mayo                           	 meoʊ                           	 mei                           
filmgoers                      	 filmgoers*                     	 fɪlmgoʊərz                    
hypocrisy                      	 hɪpɑkrəsi                      	 hɪpɑkrəsi                     
exactly                        	 ɪgzæktli                       	 ɪgzæktli                      
bullfight                      	 bʊlfaɪt                        	 bʊlfaɪt                       
defrock                        	 defrock*                       	 dɪfrɑk                        
harlot                         	 hɑrlət                         	 hɑrlət                        
attributes                     	 ətrɪbjuts                      	 ətrɪbjuts                     
unleashed                      	 ənliʃt                         	 ənliʃt                        
wrinkling                      	 rɪŋkəlɪŋ                       	 rɪŋkəlɪŋ                      
crests                         	 krɛsts                         	 krɛsts                        
indomethacin                   	 indomethacin*                  	 ɪndɑməθəsən                   
skipjack                       	 skɪpʤæk                        	 skɪpʤæk                       
divisible                      	 dɪvɪzəbəl                      	 dɪvɪzəbəl                     
creamer                        	 krimər                         	 krimər                        
profanely                      	 profanely*                     	 proʊfenli                     
switchmen                      	 switchmen*                     	 swɪʧmɪn                       
thralls                        	 thralls*                       	 θrɔlz                         
pallor                         	 pallor*                        	 pɔlər                         
emasculated                    	 əmæskjuletɪd                   	 əmæskjuletɪd                  
jammer                         	 ʤæmər                          	 ʤæmər                         
boasting                       	 boʊstɪŋ                        	 boʊstɪŋ                       
rox                            	 rɑks                           	 rɑks                          
coatroom                       	 coatroom*                      	 koʊtrum                       
imperceptibly                  	 ɪmpərsɛptɪbli                  	 ɪmpərsɛptɪbli                 
upbeat                         	 əpbit                          	 əpbit                         
watch                          	 wɔʧ                            	 wɔʧ                           
watchword                      	 wɑʧwərd                        	 wɑʧwərd                       
shoelaces                      	 ʃulesɪz                        	 ʃulesɪz                       
compares                       	 kəmpɛrz                        	 kəmpɛrz                       
taloned                        	 taloned*                       	 tæloʊnd                       
port                           	 pɔrt                           	 pɔrt                          
shoplifting                    	 ʃɑplɪftɪŋ                      	 ʃɑplɪftɪŋ                     
hogger                         	 hogger*                        	 hɑgər                         
greed                          	 grid                           	 grid                          
outdoorsmen                    	 outdoorsmen*                   	 aʊtdɔrzmɪn                    
solipsistic                    	 solipsistic*                   	 səlɪpsɪstɪk                   
chumped                        	 chumped*                       	 ʧəmpt                         
revolves                       	 rivɑlvz                        	 rivɑlvz                       
swaggering                     	 swægərɪŋ                       	 swægərɪŋ                      
welt                           	 wɛlt                           	 wɛlt                          
blepharoplasty                 	 blepharoplasty*                	 blɛfərəplæsti                 
cadences                       	 kedənsɪz                       	 kedənsɪz                      
sported                        	 spɔrtɪd                        	 spɔrtɪd                       
plebes                         	 plebes*                        	 plibz                         
plucking                       	 pləkɪŋ                         	 pləkɪŋ                        
brawling                       	 brɔlɪŋ                         	 brɔlɪŋ                        
costumier                      	 costumier*                     	 kɑstəmjur                     
underoccupied                  	 underoccupied*                 	 əndərɑkjəpaɪd                 
premise                        	 prɛmɪs                         	 prɛmɪs                        
